0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
4,1956601275,Thu May 28 22:14:26 PDT 2009,NO_QUERY,BetterisLittle,@AmysFinerThings Can admitting to failure be a finer thing?  http://bit.ly/157W3I
4,2052129328,Fri Jun 05 23:45:02 PDT 2009,NO_QUERY,SoulAfrodisiac,@earthcrew Gnite. 
0,2243487340,Fri Jun 19 13:30:43 PDT 2009,NO_QUERY,mr_kef,hotbirth kolan ghat shode 
4,2054686669,Sat Jun 06 07:53:01 PDT 2009,NO_QUERY,CBethGlitter,getting ready to go out and celebrate the bf's birthday 
0,2180617009,Mon Jun 15 10:42:46 PDT 2009,NO_QUERY,Hive_Queen,"Gonna be a bad one the electrics keep crapping out, not good in the middle of printing a book  so far its the lights only."
4,1976808627,Sat May 30 19:08:16 PDT 2009,NO_QUERY,JeffreyNYC,@Steventartick *IF* I am on a mac... You know better than that Steve... LOL... I will give it a try... 
4,2065939143,Sun Jun 07 09:35:02 PDT 2009,NO_QUERY,edra,@akiraposh at least she didn't ask if it's kosher. 
0,1694646257,Mon May 04 03:33:02 PDT 2009,NO_QUERY,NascarGirl1036,So tired....need caffeine i'm about to pass out from exhaustion 
0,2233180653,Thu Jun 18 20:57:01 PDT 2009,NO_QUERY,lohyn,So hard!  I hate  maths and figures! - http://tweet.sg
0,2204348904,Wed Jun 17 01:59:12 PDT 2009,NO_QUERY,missripples,"Is sick of hayfever....argh, feel so shitty "
4,1968218253,Fri May 29 20:59:46 PDT 2009,NO_QUERY,MakeupByAngie,@jenxstudios lol ok whatever works for you! Try ebay? 
0,1980233106,Sun May 31 06:07:37 PDT 2009,NO_QUERY,coliwilso,aw crap! why do i *always* forget about my work clothes until i'm getting ready for bed on a sunday night? 
0,1997207064,Mon Jun 01 16:26:37 PDT 2009,NO_QUERY,EJezebel,"Aw, that's really sad  I thought I've been updating Twitter from my phone but it hasn't been going through..."
4,2000106502,Mon Jun 01 21:25:25 PDT 2009,NO_QUERY,lalita_twilight,http://twitpic.com/6g4pb - She looks so pretty  COMMENT!
0,2004913013,Tue Jun 02 08:56:06 PDT 2009,NO_QUERY,MsDeLaGhetto,im sad mommie is going back to charlotte  
0,1966835623,Fri May 29 18:29:15 PDT 2009,NO_QUERY,1orraine,@lalalizbeth  aww 
0,2203129329,Tue Jun 16 23:05:14 PDT 2009,NO_QUERY,SeanSalcido,getting my class schedule together.  real world stuff
0,2049858867,Fri Jun 05 17:37:40 PDT 2009,NO_QUERY,FlorenceBollen,@BAlessandra_Xx Heyy Hunni. Yers i heard the bad new from cass. Thats sad   Hope your okay.  ily x
0,1990331154,Mon Jun 01 04:34:19 PDT 2009,NO_QUERY,GianninaRossini,physio: 'you could be looking at up to 2 yrs to regain full sensation in yr leg' - oh just great! 
0,2067484991,Sun Jun 07 12:25:40 PDT 2009,NO_QUERY,erintalley00,I have a yucky tummy ache 
4,1881738885,Fri May 22 05:26:36 PDT 2009,NO_QUERY,kimurphy,Any Greenville ladies have a salon/stylist recommendation? Not going back to FL anytime soon so I need to find someone up here 
0,1677497052,Sat May 02 02:23:36 PDT 2009,NO_QUERY,JoJoJo_Alan,@akr93  it was a really good night! i got proper drunk like
4,1996213685,Mon Jun 01 14:42:55 PDT 2009,NO_QUERY,is_selene,Its feed outside cats time! 
4,2068534239,Sun Jun 07 14:14:50 PDT 2009,NO_QUERY,Jennilovesyou,Jack in the box with meg. 
0,2247234665,Fri Jun 19 18:47:31 PDT 2009,NO_QUERY,pearl126,"Took Sophia to yoga hoping it would calm her down.  If anything, it made her more rowdy   I don't get it..."
4,1976426449,Sat May 30 17:18:14 PDT 2009,NO_QUERY,Haiku575,@pirateraina Austin usually knows what he's talking about... And of course I know I am always some kind o' ass - I have to live with me  
0,2265242128,Sun Jun 21 06:07:52 PDT 2009,NO_QUERY,trpennington,Ugh. So not ready to work in 20 min.  SAD PANDA
0,1997481234,Mon Jun 01 16:55:39 PDT 2009,NO_QUERY,rogotiz3,"I saved 2500 dollars on 2009 NBA Finals tickets, by being a Cavaliers fan "
4,2013779085,Tue Jun 02 23:33:15 PDT 2009,NO_QUERY,FridgeFrame,Check out www.fridgeframe.com Type in promocode: freeship ... For Free shipping!! 
4,1825438555,Sun May 17 05:42:09 PDT 2009,NO_QUERY,Solaritaa,Our God is an Awesome God.. had this beautiful morning @ church thank God &amp; everyone else.. 
4,1825606449,Sun May 17 06:16:32 PDT 2009,NO_QUERY,bianca43094,"@DavidArchie Take care. Hope to see you again soon. Maybe next time, you'll perform in Araneta. "
4,1990726177,Mon Jun 01 05:35:55 PDT 2009,NO_QUERY,GreenGatlinburg,GatlinburgGoesGreen.com.... green tip for the day- awesome recycling idea: adopt a pet from a shelter 
0,1833746515,Mon May 18 00:18:53 PDT 2009,NO_QUERY,diamondblvd,"So, I'm waking up at eight. I promised.  I'll dive into Anthropology, and then I'll tackle some creative writing. How's that sound? Night!"
4,2064128108,Sun Jun 07 05:19:01 PDT 2009,NO_QUERY,diniewan,Remeber the milk karton that says goncang sebelum hidang? 
4,2065960396,Sun Jun 07 09:37:25 PDT 2009,NO_QUERY,HELL0KiTTYx,@vanxiaoyi awh poor you ;( YES! its amazing  like whoa! haha im totally obsessed ;)
0,1558136388,Sun Apr 19 07:23:28 PDT 2009,NO_QUERY,nousernameknown,I'm sick...  *cough* *sneeze*
0,2285297674,Mon Jun 22 14:57:25 PDT 2009,NO_QUERY,Josh9002,"DC metro trains collide, the scene is pretty sad, at least one person killed... So sad hope everyone else is safe "
0,2176859384,Mon Jun 15 04:55:25 PDT 2009,NO_QUERY,SamCheverton,@akbeck me too  love you
4,2190861613,Tue Jun 16 03:55:46 PDT 2009,NO_QUERY,midnightnina,@rileymac31 Thanks for the video Riley! I lovee your room!!  Especially the walls 
